;12;1;5;8;20;24;26;9;6;16;19;25;18;23;0;11;13;14;17;7;12;1;5;8;20;24;26;9;6;16;19;25;18;23;0;11;13;14;17;7;12;1;5;8;20;24;26;9;6;16;19;25;18;23;0;11;13;14;17;7;12;1;5;8;20;24;26;9;6;16;19;25;18;23;0;11;13;14;17;7;12;1;5;8;20;24;26;9;6;16;19;25;18;23;0;11;13;14;17;7;
3;-14;-21;-11;-13;-15;-14;-17;-14;-16;-11;-16;-9;-18;-19;-18;-24;-21;-21;-26;-23;
15;-9;-6;-8;-2;-6;1;-10;-9;-13;-10;-15;-10;-13;-15;-14;-22;-15;-17;-22;-17;
21;-12;-11;-9;-11;-13;-8;-21;-10;-14;-7;-16;-13;-14;-7;-10;-10;-9;-11;-10;-5;
27;-17;-8;-6;-10;-12;-5;-12;-4;-10;-7;-10;-11;-8;-10;-11;-15;-10;-16;-17;-18;
29;-15;-12;-14;-12;-14;-15;-20;-14;-18;-3;-12;-13;-10;-22;-21;-25;-20;-22;-27;-22;
