;9;6;16;19;25;18;23;0;11;13;14;17;7;9;6;16;19;25;18;23;0;11;13;14;17;7;9;6;16;19;25;18;23;0;11;13;14;17;7;9;6;16;19;25;18;23;0;11;13;14;17;7;9;6;16;19;25;18;23;0;11;13;14;17;7;9;6;16;19;25;18;23;0;11;13;14;17;7;9;6;16;19;25;18;23;0;11;13;14;17;7;
12;-16;-25;-11;-16;-22;-22;-21;-28;-28;-20;-21;-23;-21;
1;-12;-19;-5;-18;-18;-12;-15;-20;-20;-20;-21;-19;-13;
5;-15;-26;-8;-13;-19;-13;-16;-23;-23;-17;-20;-18;-14;
8;-6;-13;-3;-2;-12;-2;-13;-12;-12;-6;-7;-17;-7;
20;-11;-16;-6;-7;-11;-7;-5;-6;-8;-6;-9;-3;-7;
26;-11;-16;-10;-15;-11;-15;-19;-24;-24;-18;-19;-25;-25;
15;-12;-21;-11;-12;-18;-12;-18;-23;-25;-17;-18;-20;-16;
